creator,editor,puzzle_id,publication_date
Joel Fagliano,,9349,2014-08-21
Joel Fagliano,,9350,2014-08-22
Joel Fagliano,,9351,2014-08-23
Joel Fagliano,,9352,2014-08-24
Joel Fagliano,,9353,2014-08-25
Joel Fagliano,,9354,2014-08-26
Joel Fagliano,,9355,2014-08-27
Joel Fagliano,,9357,2014-08-28
Joel Fagliano,,9356,2014-08-29
Joel Fagliano,,9358,2014-08-30
Joel Fagliano,,9359,2014-08-31
Joel Fagliano,,9360,2014-09-01
Joel Fagliano,,9362,2014-09-02
Joel Fagliano,,9363,2014-09-03
Joel Fagliano,,9393,2014-09-04
Joel Fagliano,,9391,2014-09-05
Joel Fagliano,,9364,2014-09-06
Joel Fagliano,,9395,2014-09-07
Joel Fagliano,,9397,2014-09-08
Joel Fagliano,,9394,2014-09-09
Joel Fagliano,,9396,2014-09-10
Joel Fagliano,,9398,2014-09-11
Joel Fagliano,,9399,2014-09-12
Joel Fagliano,,9400,2014-09-13
Joel Fagliano,,9418,2014-09-14
Joel Fagliano,,9430,2014-09-15
Joel Fagliano,,9421,2014-09-16
Joel Fagliano,,9422,2014-09-17
Joel Fagliano,,9424,2014-09-18
Joel Fagliano,,9419,2014-09-19
Joel Fagliano,,9425,2014-09-20
Joel Fagliano,,9426,2014-09-21
Joel Fagliano,,9427,2014-09-22
Joel Fagliano,,9428,2014-09-23
Joel Fagliano,,9423,2014-09-24
Joel Fagliano,,9429,2014-09-25
Joel Fagliano,,9443,2014-09-26
Joel Fagliano,,9441,2014-09-27
Joel Fagliano,,9440,2014-09-28
Joel Fagliano,,9439,2014-09-29
Joel Fagliano,,9446,2014-09-30
Joel Fagliano,,9442,2014-10-01
Joel Fagliano,,9445,2014-10-02
Joel Fagliano,,9447,2014-10-03
Joel Fagliano,,9444,2014-10-04
Joel Fagliano,,9466,2014-10-05
Joel Fagliano,,9468,2014-10-06
Joel Fagliano,,9465,2014-10-07
Joel Fagliano,,9464,2014-10-08
Joel Fagliano,,9470,2014-10-09
Joel Fagliano,,9469,2014-10-10
Joel Fagliano,,9467,2014-10-11
Joel Fagliano,,9481,2014-10-12
Joel Fagliano,,9480,2014-10-13
Joel Fagliano,,9482,2014-10-14
Joel Fagliano,,9484,2014-10-15
Joel Fagliano,,9483,2014-10-16
Joel Fagliano,,9485,2014-10-17
Joel Fagliano,,9499,2014-10-18
Joel Fagliano,,9497,2014-10-19
Joel Fagliano,,9495,2014-10-20
Joel Fagliano,,9494,2014-10-21
Joel Fagliano,,9498,2014-10-22
Joel Fagliano,,9496,2014-10-23
Joel Fagliano,,9500,2014-10-24
Joel Fagliano,,9519,2014-10-25
Joel Fagliano,,9520,2014-10-26
Joel Fagliano,,9518,2014-10-27
Joel Fagliano,,9515,2014-10-28
Joel Fagliano,,9516,2014-10-29
Joel Fagliano,,9517,2014-10-30
Joel Fagliano,,9521,2014-10-31
Joel Fagliano,,9535,2014-11-01
Joel Fagliano,,9532,2014-11-02
Joel Fagliano,,9531,2014-11-03
Joel Fagliano,,9544,2014-11-04
Joel Fagliano,,9534,2014-11-05
Joel Fagliano,,9545,2014-11-06
Joel Fagliano,,9547,2014-11-07
Joel Fagliano,,9546,2014-11-08
Joel Fagliano,,9548,2014-11-09
Joel Fagliano,,9561,2014-11-10
Joel Fagliano,,9562,2014-11-11
Joel Fagliano,,9560,2014-11-12
Joel Fagliano,,9557,2014-11-13
Joel Fagliano,,9558,2014-11-14
Joel Fagliano,,9559,2014-11-15
Joel Fagliano,,9574,2014-11-16
Joel Fagliano,,9575,2014-11-17
Joel Fagliano,,9573,2014-11-18
Joel Fagliano,,9571,2014-11-19
Joel Fagliano,,9572,2014-11-20
Joel Fagliano,,9578,2014-11-21
